round,node_id,neighbors_list,subgroup,position_x,position_y
1,1,"2,3,4,5",0,200,100
1,2,"1,3,4,5",0,100,200
1,3,"1,2,4,5",0,300,200
1,4,"1,2,3,11",0,100,300
1,5,"1,2,3,9",0,300,300
1,6,"7,8,9,10",0,600,100
1,7,"6,8,9,10",0,500,200
1,8,"6,7,9,10",0,700,200
1,9,"5,6,7,8",0,500,300
1,10,"6,7,8,17",0,700,300
1,11,"4,13,14,15",0,100,500
1,12,"16,13,14,15",0,300,500
1,13,"11,12,14,15",0,100,600
1,14,"11,12,13,15",0,300,600
1,15,"11,12,13,14",0,200,700
1,16,"12,18,19,20",0,500,500
1,17,"10,18,19,20",0,700,500
1,18,"16,17,19,20",0,500,600
1,19,"16,17,18,20",0,700,600
1,20,"16,17,18,19",0,600,700
2,1,"2,3,4,5",0,200,100
2,2,"1,3,4,5",0,100,200
2,3,"1,2,4,5",0,300,200
2,4,"1,2,3,11",0,100,300
2,5,"1,2,3,9",0,300,300
2,6,"7,8,9,10",0,600,100
2,7,"6,8,9,10",0,500,200
2,8,"6,7,9,10",0,700,200
2,9,"5,6,7,8",0,500,300
2,10,"6,7,8,17",0,700,300
2,11,"4,13,14,15",0,100,500
2,12,"16,13,14,15",0,300,500
2,13,"11,12,14,15",0,100,600
2,14,"11,12,13,15",0,300,600
2,15,"11,12,13,14",0,200,700
2,16,"12,18,19,20",0,500,500
2,17,"10,18,19,20",0,700,500
2,18,"16,17,19,20",0,500,600
2,19,"16,17,18,20",0,700,600
2,20,"16,17,18,19",0,600,700
3,1,"2,3,4,5",0,200,100
3,2,"1,3,4,5",0,100,200
3,3,"1,2,4,5",0,300,200
3,4,"1,2,3,11",0,100,300
3,5,"1,2,3,9",0,300,300
3,6,"7,8,9,10",0,600,100
3,7,"6,8,9,10",0,500,200
3,8,"6,7,9,10",0,700,200
3,9,"5,6,7,8",0,500,300
3,10,"6,7,8,17",0,700,300
3,11,"4,13,14,15",0,100,500
3,12,"16,13,14,15",0,300,500
3,13,"11,12,14,15",0,100,600
3,14,"11,12,13,15",0,300,600
3,15,"11,12,13,14",0,200,700
3,16,"12,18,19,20",0,500,500
3,17,"10,18,19,20",0,700,500
3,18,"16,17,19,20",0,500,600
3,19,"16,17,18,20",0,700,600
3,20,"16,17,18,19",0,600,700
4,1,"2,3,4,5",0,200,100
4,2,"1,3,4,5",0,100,200
4,3,"1,2,4,5",0,300,200
4,4,"1,2,3,11",0,100,300
4,5,"1,2,3,9",0,300,300
