round,node_id,neighbors_list,subgroup,position_x,position_y
9,7,"6,8,9",0,450,600
9,8,"6,7,10",0,550,400
9,9,"5,7,10",0,400,485
9,10,"8,9,15",0,450,400
9,11,"12,13",0,350,200
9,12,"11,13,14",0,250,200
9,13,"11,12,15",0,450,200
9,14,"4,12,15",0,300,315
9,15,"10,13,14",0,400,315
9,16,16,0,0,0
9,17,17,0,0,0
9,18,18,0,0,0
9,19,19,0,0,0
9,20,20,0,0,0
10,1,"2,3,4,5",0,250,600
10,2,"1,4,5,12",0,150,400
10,3,"1,4,5,7",0,350,650
10,4,"1,2,3,5",0,250,400
10,5,"1,2,3,4",0,300,485
10,6,"7,8,9,10",0,510,500
10,7,"3,6,9,10",0,450,600
10,8,"6,9,10,13",0,550,400
10,9,"6,7,8,10",0,400,485
10,10,"6,7,8,9",0,450,400
10,11,"12,13,14,15",0,350,200
10,12,"2,11,14,15",0,250,200
10,13,"8,11,14,15",0,450,200
10,14,"11,12,13,15",0,300,315
10,15,"11,12,13,14",0,400,315
10,16,16,0,0,0
10,17,17,0,0,0
10,18,18,0,0,0
10,19,19,0,0,0
10,20,20,0,0,0
11,1,"2,3,4,5",0,250,600
11,2,"1,4,5,12",0,150,400
11,3,"1,4,5,7",0,350,650
11,4,"1,2,3,5",0,250,400
11,5,"1,2,3,4",0,300,485
11,6,"7,8,9,10",0,510,500
11,7,"3,6,9,10",0,450,600
11,8,"6,9,10,13",0,550,400
11,9,"6,7,8,10",0,400,485
11,10,"6,7,8,9",0,450,400
11,11,"12,13,14,15",0,350,200
11,12,"2,11,14,15",0,250,200
11,13,"8,11,14,15",0,450,200
11,14,"11,12,13,15",0,300,315
11,15,"11,12,13,14",0,400,315
11,16,16,0,0,0
11,17,17,0,0,0
11,18,18,0,0,0
11,19,19,0,0,0
11,20,20,0,0,0
12,1,"2,3,4,5",0,250,600
12,2,"1,4,5,12",0,150,400
12,3,"1,4,5,7",0,350,650
12,4,"1,2,3,5",0,250,400
12,5,"1,2,3,4",0,300,485
12,6,"7,8,9,10",0,510,500
12,7,"3,6,9,10",0,450,600
12,8,"6,9,10,13",0,550,400
12,9,"6,7,8,10",0,400,485
12,10,"6,7,8,9",0,450,400
12,11,"12,13,14,15",0,350,200
12,12,"2,11,14,15",0,250,200
12,13,"8,11,14,15",0,450,200
12,14,"11,12,13,15",0,300,315
12,15,"11,12,13,14",0,400,315
12,16,16,0,0,0
12,17,17,0,0,0
12,18,18,0,0,0
12,19,19,0,0,0
12,20,20,0,0,0
13,1,"2,3,4,5",0,250,600
13,2,"1,4,5,12",0,150,400
13,3,"1,4,5,7",0,350,650
13,4,"1,2,3,5",0,250,400
13,5,"1,2,3,4",0,300,485
13,6,"7,8,9,10",0,510,500
13,7,"3,6,9,10",0,450,600
13,8,"6,9,10,13",0,550,400
13,9,"6,7,8,10",0,400,485
13,10,"6,7,8,9",0,450,400
13,11,"12,13,14,15",0,350,200
13,12,"2,11,14,15",0,250,200
13,13,"8,11,14,15",0,450,200
13,14,"11,12,13,15",0,300,315
13,15,"11,12,13,14",0,400,315
13,16,16,0,0,0
13,17,17,0,0,0
13,18,18,0,0,0
13,19,19,0,0,0
13,20,20,0,0,0
14,1,"2,3,6",0,250,600
14,2,"1,3,4",0,150,400
14,3,"1,2,5",0,350,650
14,4,"2,5,14",0,250,400
14,5,"3,4,9",0,300,485
14,6,"1,7,8",0,510,500
14,7,"6,8,9",0,450,600
14,8,"6,7,10",0,550,400
14,9,"5,7,10",0,400,485
14,10,"8,9,15",0,450,400
14,11,"12,13",0,350,200
14,12,"11,13,14",0,250,200
14,13,"11,12,15",0,450,200
14,14,"4,12,15",0,300,315
14,15,"10,13,14",0,400,315
14,16,16,0,0,0
14,17,17,0,0,0
14,18,18,0,0,0
14,19,19,0,0,0
14,20,20,0,0,0
15,1,"2,3,6",0,250,600
15,2,"1,3,4",0,150,400
15,3,"1,2,5",0,350,650
15,4,"2,5,14",0,250,400
15,5,"3,4,9",0,300,485
15,6,"1,7,8",0,510,500
15,7,"6,8,9",0,450,600
15,8,"6,7,10",0,550,400
15,9,"5,7,10",0,400,485
15,10,"8,9,15",0,450,400
15,11,"12,13",0,350,200
15,12,"11,13,14",0,250,200
15,13,"11,12,15",0,450,200
15,14,"4,12,15",0,300,315
15,15,"10,13,14",0,400,315
15,16,16,0,0,0
15,17,17,0,0,0
15,18,18,0,0,0
15,19,19,0,0,0
15,20,20,0,0,0
16,1,"2,3,6",0,250,600
16,2,"1,3,4",0,150,400
16,3,"1,2,5",0,350,650
16,4,"2,5,14",0,250,400
16,5,"3,4,9",0,300,485
16,6,"1,7,8",0,510,500
16,7,"6,8,9",0,450,600
16,8,"6,7,10",0,550,400
16,9,"5,7,10",0,400,485
16,10,"8,9,15",0,450,400
16,11,"12,13",0,350,200
16,12,"11,13,14",0,250,200
16,13,"11,12,15",0,450,200
16,14,"4,12,15",0,300,315
16,15,"10,13,14",0,400,315
16,16,16,0,0,0
16,17,17,0,0,0
16,18,18,0,0,0
16,19,19,0,0,0
16,20,20,0,0,0
17,1,"2,3,6",0,250,600
17,2,"1,3,4",0,150,400
17,3,"1,2,5",0,350,650
17,4,"2,5,14",0,250,400
17,5,"3,4,9",0,300,485
17,6,"1,7,8",0,510,500
17,7,"6,8,9",0,450,600
17,8,"6,7,10",0,550,400
17,9,"5,7,10",0,400,485
17,10,"8,9,15",0,450,400
17,11,"12,13",0,350,200
17,12,"11,13,14",0,250,200
17,13,"11,12,15",0,450,200
17,14,"4,12,15",0,300,315
17,15,"10,13,14",0,400,315
17,16,16,0,0,0
17,17,17,0,0,0
17,18,18,0,0,0
17,19,19,0,0,0
17,20,20,0,0,0
