round,node_id,neighbors_list,subgroup,position_x,position_y
1,1,"6,2",0,400,200
1,2,"1,3",0,600,300
1,3,"2,4",0,600,400
1,4,"3,5",0,400,500
1,5,"4,6",0,200,400
1,6,"5,1",0,200,300
2,1,"6,2,4",0,400,200
2,2,"1,3,5",0,600,300
2,3,"2,4,6",0,600,400
2,4,"3,5,1",0,400,500
2,5,"4,6,2",0,200,400
2,6,"5,1,3",0,200,300
3,1,"6,2,4",0,400,200
3,2,"1,3,5",0,600,300
3,3,"2,4,6",0,600,400
3,4,"3,5,1",0,400,500
3,5,"4,6,2",0,200,400
3,6,"5,1,3",0,200,300
4,1,"6,2",0,400,200
4,2,"1,3",0,600,300
4,3,"2,4",0,600,400
4,4,"3,5",0,400,500
4,5,"4,6",0,200,400
4,6,"5,1",0,200,300
5,1,"6,2",0,400,200
5,2,"1,3",0,600,300
5,3,"2,4",0,600,400
5,4,"3,5",0,400,500
5,5,"4,6",0,200,400
5,6,"5,1",0,200,300
6,1,"6,2,4",0,400,200
6,2,"1,3,5",0,600,300
6,3,"2,4,6",0,600,400
6,4,"3,5,1",0,400,500
6,5,"4,6,2",0,200,400
6,6,"5,1,3",0,200,300
7,1,"6,2,4",0,400,200
7,2,"1,3,5",0,600,300
7,3,"2,4,6",0,600,400
7,4,"3,5,1",0,400,500
7,5,"4,6,2",0,200,400
7,6,"5,1,3",0,200,300
8,1,"6,2",0,400,200
8,2,"1,3",0,600,300
8,3,"2,4",0,600,400
8,4,"3,5",0,400,500
8,5,"4,6",0,200,400
8,6,"5,1",0,200,300
9,1,"6,2",0,400,200
9,2,"1,3",0,600,300
9,3,"2,4",0,600,400
9,4,"3,5",0,400,500
9,5,"4,6",0,200,400
9,6,"5,1",0,200,300
10,1,"6,2",0,400,200
10,2,"1,3",0,600,300
10,3,"2,4",0,600,400
10,4,"3,5",0,400,500
10,5,"4,6",0,200,400
10,6,"5,1",0,200,300
11,1,"6,2",0,400,200
11,2,"1,3",0,600,300
11,3,"2,4",0,600,400
11,4,"3,5",0,400,500
11,5,"4,6",0,200,400
11,6,"5,1",0,200,300
12,1,"6,2,4",0,400,200
12,2,"1,3,5",0,600,300
12,3,"2,4,6",0,600,400
12,4,"3,5,1",0,400,500
12,5,"4,6,2",0,200,400
12,6,"5,1,3",0,200,300
13,1,"6,2,4",0,400,200
13,2,"1,3,5",0,600,300
13,3,"2,4,6",0,600,400
13,4,"3,5,1",0,400,500
13,5,"4,6,2",0,200,400
13,6,"5,1,3",0,200,300
14,1,"6,2",0,400,200
14,2,"1,3",0,600,300
14,3,"2,4",0,600,400
14,4,"3,5",0,400,500
14,5,"4,6",0,200,400
14,6,"5,1",0,200,300
15,1,"6,2",0,400,200
15,2,"1,3",0,600,300
15,3,"2,4",0,600,400
15,4,"3,5",0,400,500
15,5,"4,6",0,200,400
15,6,"5,1",0,200,300
16,1,"6,2,4",0,400,200
16,2,"1,3,5",0,600,300
16,3,"2,4,6",0,600,400
16,4,"3,5,1",0,400,500
16,5,"4,6,2",0,200,400
16,6,"5,1,3",0,200,300
17,1,"6,2,4",0,400,200
17,2,"1,3,5",0,600,300
17,3,"2,4,6",0,600,400
17,4,"3,5,1",0,400,500
17,5,"4,6,2",0,200,400
17,6,"5,1,3",0,200,300
