round,node_id,neighbors_list,subgroup,position_x,position_y
1,1,"2,10,1",0,100,200
1,2,"1,3,2",0,250,200
1,3,"2,4,3",0,400,200
1,4,"3,5,4",0,550,200
1,5,"4,6,5",0,700,200
1,6,"5,7,6",0,700,600
1,7,"6,8,7",0,550,600
1,8,"7,9,8",0,400,600
1,9,"8,10,9",0,250,600
1,10,"1,9,10",0,100,600
1,11,11,0,0,0
1,12,12,0,0,0
1,13,13,0,0,0
1,14,14,0,0,0
1,15,15,0,0,0
1,16,16,0,0,0
1,17,17,0,0,0
1,18,18,0,0,0
1,19,19,0,0,0
1,20,20,0,0,0
2,1,"2,10,1",0,100,200
2,2,"1,3,2",0,250,200
2,3,"2,4,3",0,400,200
2,4,"3,5,4",0,550,200
2,5,"4,6,5",0,700,200
2,6,"5,7,6",0,700,600
2,7,"6,8,7",0,550,600
2,8,"7,9,8",0,400,600
2,9,"8,10,9",0,250,600
2,10,"1,9,10",0,100,600
2,11,11,0,0,0
2,12,12,0,0,0
2,13,13,0,0,0
2,14,14,0,0,0
2,15,15,0,0,0
2,16,16,0,0,0
2,17,17,0,0,0
2,18,18,0,0,0
2,19,19,0,0,0
2,20,20,0,0,0
3,1,"2,10,1",0,100,200
3,2,"1,3,2",0,250,200
3,3,"2,4,3",0,400,200
3,4,"3,5,4",0,550,200
3,5,"4,6,5",0,700,200
3,6,"5,7,6",0,700,600
3,7,"6,8,7",0,550,600
3,8,"7,9,8",0,400,600
3,9,"8,10,9",0,250,600
3,10,"1,9,10",0,100,600
3,11,11,0,0,0
3,12,12,0,0,0
3,13,13,0,0,0
3,14,14,0,0,0
3,15,15,0,0,0
3,16,16,0,0,0
3,17,17,0,0,0
3,18,18,0,0,0
3,19,19,0,0,0
3,20,20,0,0,0
4,1,"2,10,1",0,100,200
4,2,"1,3,2",0,250,200
4,3,"2,4,3",0,400,200
4,4,"3,5,4",0,550,200
4,5,"4,6,5",0,700,200
4,6,"5,7,6",0,700,600
4,7,"6,8,7",0,550,600
4,8,"7,9,8",0,400,600
4,9,"8,10,9",0,250,600
4,10,"1,9,10",0,100,600
4,11,11,0,0,0
4,12,12,0,0,0
4,13,13,0,0,0
4,14,14,0,0,0
4,15,15,0,0,0
4,16,16,0,0,0
4,17,17,0,0,0
4,18,18,0,0,0
4,19,19,0,0,0
4,20,20,0,0,0
5,1,"2,10,1",0,100,200
5,2,"1,3,2",0,250,200
5,3,"2,4,3",0,400,200
5,4,"3,5,4",0,550,200
5,5,"4,6,5",0,700,200
5,6,"5,7,6",0,700,600
5,7,"6,8,7",0,550,600
5,8,"7,9,8",0,400,600
5,9,"8,10,9",0,250,600
5,10,"1,9,10",0,100,600
5,11,11,0,0,0
5,12,12,0,0,0
5,13,13,0,0,0
5,14,14,0,0,0
5,15,15,0,0,0
5,16,16,0,0,0
5,17,17,0,0,0
5,18,18,0,0,0
5,19,19,0,0,0
5,20,20,0,0,0
6,1,"2,9,10",0,100,200
6,2,"1,3,10",0,250,200
6,3,"2,4,8",0,400,200
6,4,"3,5,6",0,550,200
6,5,"4,6,7",0,700,200
6,6,"4,5,7",0,700,600
6,7,"5,6,8",0,550,600
6,8,"3,7,9",0,400,600
6,9,"1,8,10",0,250,600
6,10,"1,2,9",0,100,600
6,11,11,0,0,0
6,12,12,0,0,0
6,13,13,0,0,0
6,14,14,0,0,0
6,15,15,0,0,0
6,16,16,0,0,0
6,17,17,0,0,0
6,18,18,0,0,0
6,19,19,0,0,0
6,20,20,0,0,0
7,1,"2,9,10",0,100,200
7,2,"1,3,10",0,250,200
7,3,"2,4,8",0,400,200
7,4,"3,5,6",0,550,200
7,5,"4,6,7",0,700,200
7,6,"4,5,7",0,700,600
7,7,"5,6,8",0,550,600
7,8,"3,7,9",0,400,600
7,9,"1,8,10",0,250,600
7,10,"1,2,9",0,100,600
7,11,11,0,0,0
7,12,12,0,0,0
7,13,13,0,0,0
7,14,14,0,0,0
7,15,15,0,0,0
7,16,16,0,0,0
7,17,17,0,0,0
7,18,18,0,0,0
7,19,19,0,0,0
7,20,20,0,0,0
8,1,"2,9,10",0,100,200
